OppRk,Opponent,Result,Effect,Status,PctOfRanking,Date,Event,Win,Pts,OppPts,GameScore,PtDiff,OpponentRating,TeamRatingPostgame,GameValue,TeamRatingPregame,GameValueUsed,RatingsImpact,Team,TeamPOPS,OppPOPS
51,Indiana,Win 13-11,-21.63,Counts,0.05,2022-03-05,Smoky Mountain Invite 2022,1,13,11,228.84,2,1472.26,2133.87,1701.1,2155.5,1701.1,85.055,University of Colorado - Boulder,0.5416666666666666,0.4583333333333333
9,Georgia,Win 15-13,3.25,Counts,0.05,2022-03-05,Smoky Mountain Invite 2022,1,15,13,214.18,2,1959.86,2109,2174.04,2105.75,2174.04,108.702,University of Colorado - Boulder,0.5357142857142857,0.4642857142857143
15,Minnesota,Win 15-8,13.96,Counts,0.05,2022-03-06,Smoky Mountain Invite 2022,1,15,8,564.81,7,1812.87,2098.29,2377.68,2084.33,2377.68,118.884,University of Colorado - Boulder,0.6521739130434783,0.34782608695652173
17,Texas,Win 15-12,-0.49,Counts,0.05,2022-03-06,Smoky Mountain Invite 2022,1,15,12,300.49,3,1802.52,2112.73,2103.01,2113.22,2103.01,105.15050000000002,University of Colorado - Boulder,0.5555555555555556,0.4444444444444444
1,Brown,Loss 14-15,-0.22,Counts,0.05,2022-03-06,Smoky Mountain Invite 2022,0,14,15,-125,-1,2232.98,2112.47,2107.98,2112.6899999999996,2107.98,105.399,University of Colorado - Boulder,0.4827586206896552,0.5172413793103449
42,Colorado State,Win 14-7,-0.45,Counts,0.0707,2022-04-17,Rocky Mountain D I College Mens CC 2022,1,14,7,582.89,7,1523.44,2112.7,2106.33,2113.1499999999996,2106.33,148.917531,University of Colorado - Boulder,0.6666666666666666,0.3333333333333333
76,Texas A&M,Win 13-6,-17.65,Counts,0.0793,2022-04-30,South Central D I College Mens Regionals 2022,1,13,6,600,7,1307.4,2129.9,1907.4,2147.55,1907.4,151.25682,University of Colorado - Boulder,0.6842105263157895,0.3157894736842105
30,Washington University,Win 13-7,4.76,Counts,0.0793,2022-04-30,South Central D I College Mens Regionals 2022,1,13,7,557.53,6,1609.95,2107.49,2167.48,2102.7299999999996,2167.48,171.88116399999998,University of Colorado - Boulder,0.65,0.35
42,Colorado State,Win 15-9,-6.32,Counts,0.0793,2022-05-01,South Central D I College Mens Regionals 2022,1,15,9,515.48,6,1523.44,2118.57,2038.92,2124.8900000000003,2038.92,161.686356,University of Colorado - Boulder,0.625,0.375
17,Texas,Win 15-7,25.01,Counts,0.0793,2022-05-01,South Central D I College Mens Regionals 2022,1,15,7,600,8,1802.52,2087.24,2402.52,2062.2299999999996,2402.52,190.519836,University of Colorado - Boulder,0.6818181818181818,0.3181818181818182
65,California-Santa Barbara,Win 15-5,0,Ignored,0,2022-01-28,Santa Barbara Invite 2022,1,15,5,600,10,1387.07,2059.23,1987.07,2059.23,0,0,Brigham Young,0.75,0.25
7,Cal Poly-SLO,Win 13-9,16.38,Counts,0.04650000000000001,2022-01-28,Santa Barbara Invite 2022,1,13,9,418.57,4,1976.49,2042.85,2395.06,2026.4699999999998,2395.06,111.37029000000001,Brigham Young,0.5909090909090909,0.4090909090909091
70,Chicago,Win 15-9,-9.64,Counts,0.04650000000000001,2022-01-29,Santa Barbara Invite 2022,1,15,9,515.48,6,1346.09,2068.87,1861.57,2078.5099999999998,1861.57,86.563005,Brigham Young,0.625,0.375
84,Santa Clara,Win 15-2,0,Ignored,0,2022-01-29,Santa Barbara Invite 2022,1,15,2,600,13,1257.14,2059.23,1857.14,2059.23,0,0,Brigham Young,0.8823529411764706,0.11764705882352941
31,UCLA,Win 13-11,-10.89,Counts,0.04650000000000001,2022-01-29,Santa Barbara Invite 2022,1,13,11,228.84,2,1607.12,2070.12,1835.9599999999998,2081.0099999999998,1835.9599999999998,85.37214,Brigham Young,0.5416666666666666,0.4583333333333333
14,California,Win 15-13,-0.73,Counts,0.04650000000000001,2022-01-29,Santa Barbara Invite 2022,1,15,13,214.18,2,1830.1,2059.96,2044.28,2060.69,2044.28,95.05902000000002,Brigham Young,0.5357142857142857,0.4642857142857143
5,Pittsburgh,Win 13-7,27.08,Counts,0.0493,2022-02-05,Warm Up 2022,1,13,7,557.53,6,2024.16,2032.15,2581.69,2005.0700000000002,2581.69,127.277317,Brigham Young,0.65,0.35
76,Texas A&M,Win 13-4,0,Ignored,0,2022-02-05,Warm Up 2022,1,13,4,600,9,1307.4,2059.23,1907.4,2059.23,0,0,Brigham Young,0.7647058823529411,0.23529411764705882
13,Northeastern,Win 13-7,19.37,Counts,0.0493,2022-02-05,Warm Up 2022,1,13,7,557.53,6,1875.37,2039.86,2432.8999999999996,2020.49,2432.8999999999996,119.94196999999997,Brigham Young,0.65,0.35
1,Brown,Loss 11-13,-2.85,Counts,0.0493,2022-02-05,Warm Up 2022,0,11,13,-228.84,-2,2232.98,2062.08,2004.14,2064.93,2004.14,98.804102,Brigham Young,0.4583333333333333,0.5416666666666666
